author,rhyme_type,V_V,Adj_Adj,PRO_PRO,N_N_paradigm,N_n,V_N,N_Adj,N_PRO,other
1_Presyllabic,F,48,15,,18,5,3,4,,7
2_Simeon,F,75,10,,4,1,2,3,,5
3_Kantemir,F,33,20,,16,15,3,5,,7
4_Lomonosov,F,28,17,,21,18,2,9,,5
5_Pushkin,F,17,22,,32,15,3,6,,5
6_Nekrasov,F,14,16,,34,19,2,7,,8
7_Fet,F,17,21,,24,19,3,9,,7
8_Brusov,F,7,17,,22,22,8,16,,8
9_Mayakovski,F,1,4,,14,26,22,17,,16
1_Presyllabic,M,38,9,11,10,9,4,3,5,11
4_Lomonosov,M,16,1,3,18,30,13,4,8,7
5_Pushkin,M,16,3,5,11,25,8,5,13,14
6_Nekrasov,M,20,3,3,9,24,13,4,8,16
7_Fet,M,14,2,2,11,23,12,9,13,14
8_Brusov,M,2,2,1,14,29,19,10,13,10
9_Mayakovski,M,2,1,0,8,30,25,9,7,18
1_Early,D,8,56,,32,,,,,3
6_Nekrasov_urban,D,16,31,,41,,,,,8
6_Nekrasov_rural,D,16,46,,30,,,,,7
7_MinaevTref_urban,D,12,36,,34,,,,,3
7_NikitinSurikovDrozh_rural,D,38,36,,21,,,,,17
8_Balmont,D,10,54,,30,,,,,1
8_Brusov,D,8,48,,26,,,,,8
9_Mayakovski,D,4,10,,35,,,,,47
