"period","author","text","femin_iotated","femin_approx","femin_nonexact","masc_closed_nonexact","masc_open_nonexact","masc_closed_open","base_sound"
1729,"Kantemir","Satyres I-III",0.8,,0.4,,,,16.5
1752,"Trediakovskii","odes",,,0.5,0.3,,,37.5
1738,"Lomonosov","odes",1.3,,0.2,0.6,64,,14
1745,"Lomonosov","odes",1.5,,0.1,0.8,8.3,,17.5
1750,"Lomonosov","Temira I Selim",2,,,,2.6,,13.5
1751,"Lomonosov","Demofont",,,,,5.3,,12.5
1747,"Sumarokov","Khorev",,,,,,,49.5
1771,"Sumarokov","DmSamozvanec",,,,,,,60.5
1770,"Sumarokov","psalmy",,,,0.8,,,61
1770,"Sumarokov","pritchy",,,,,,,63.5
1745,"Golenovskii","odes",,,0.8,3.6,3.9,,31
1767,"Maikov_V","odes",1.6,,,1.3,3,,53.5
1769,"Maikov_V","Elisei",,,1.7,,,,63
1754,"Popovskii",,3.3,,0.9,,,,16
1764,"Barkov","Basni Fedra",4,,5,3,1.5,,18.5
1758,"Kheraskov","Venecianskaia Monakhinia",,,1.9,,,,33.5
1779,"Kheraskov","Rossiada",,,,,,,53.5
1785,"Kheraskov","Vladimir",,,0.4,,,,49
1769,"Kozelskii","Nezloblivaia_zhizn",2.7,,0.7,2.1,3.4,,20.5
1767,"Petrov","odes",,,,,,,38.5
1790,"Petrov","odes",,,0.4,0.9,,,45.5
1759,"Rzhevskii",,,0.2,1.8,,1,,21
1762,"Rzhevskii","9 poems",,,1.4,,,,81.5
1769,"Ruban",,1.9,,2.8,0.9,5.6,,22.5
1769,"Kniazhnin","Didona",0.3,,0.6,0.4,,,30.5
1789,"Kniazhnin","Vadim",0.8,,0.3,1.6,1,,37
1775,"Chulkov","Poemy",0.5,,0.7,,3.1,,31.5
1765,"Popov","Songs",0.3,,0.3,,,,42
1760,"Ablesimov",,,0.6,1.1,,1,,63.5
1775,"Bogdanovich","Dushenka",,,,,,,31
1783,"Khemnitser","fables I-II",,,,0.2,,,20
1762,"Derzhavin",,0.8,0.8,2.3,1.5,4.3,,
1779,"Derzhavin",,4.7,0.4,7.2,3.8,2.1,,
1793,"Derzhavin","anacreontic",2.3,0.9,10.2,7.8,13.5,,
1799,"Derzhavin",,2.8,0.7,13.5,9,3,,14
1780,"Radischev",,1,0.5,6,0.8,16.7,,21
1791,"Osipov","Eneida, I, IV",,,4.7,0.3,2.1,,18.5
1774,"Lvov",,1.4,0.8,0.8,0.7,5.2,,22
1774,"Neledinskii",,1.2,1.1,1.9,0.3,12.9,,25
1780,"Kozodavlev",,,,1.7,,,,23.5
1778,"Kostrov","odes",2.3,,0.5,,1.8,,19
1787,"Kostrov","Iliada. I-III",2.6,,0.3,,5.2,,16
1783,"Kapnist","odes",5.9,0.3,1.6,0.6,,,16
1773,"Muraviev","Voenna_pesn",0.6,,2.4,,,,18
1775,"Muraviev","odes",,,,,5,,69.5
1780,"Muraviev",,0.4,0.8,0.8,,,,46.5
1790,"Khvostov","odes",1.9,0.4,3.6,1.4,,,20.5
1780,"Gorchakov",,,0.2,0.8,0.3,,,34.5
1784,"Nikolev","Sorena",,0.5,1,,,,47
